Cluster,Condition,Time,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
drought.t0,drought,t0,ko00260,"Glycine, serine and threonine metabolism", 64/2648,  64/2648,5.395576927020751e-21,1.7560150362485716e-19,1.3269504978414673e-19,K00003/K00018/K00058/K00060/K00090/K00108/K00130/K00133/K00273/K00274/K00276/K00281/K00282/K00283/K00301/K00302/K00303/K00304/K00305/K00315/K00382/K00499/K00542/K00544/K00600/K00605/K00639/K00643/K00827/K00830/K00831/K00865/K00872/K00928/K01079/K01620/K01695/K01696/K01697/K01733/K01752/K01753/K01754/K01758/K01834/K02203/K02204/K02437/K06001/K06720/K08688/K10674/K12524/K12526/K12972/K15633/K15634/K15635/K15784/K15785/K15789/K15918/K17103/K17217,64
drought.t0,drought,t0,ko00010,Glycolysis / Gluconeogenesis, 65/2648,  65/2648,1.5965249304644995e-20,4.762966042552423e-19,3.5991833958717225e-19,K00001/K00016/K00114/K00121/K00128/K00129/K00131/K00134/K00138/K00150/K00161/K00162/K00163/K00169/K00170/K00171/K00172/K00174/K00175/K00382/K00627/K00844/K00845/K00850/K00873/K00886/K00895/K00927/K01006/K01007/K01086/K01222/K01596/K01610/K01622/K01623/K01624/K01689/K01785/K01792/K01803/K01810/K01834/K01835/K01895/K01905/K02446/K02779/K03737/K03841/K11532/K11645/K12957/K13810/K13953/K13954/K13979/K14028/K15633/K15634/K15635/K15778/K15916/K16306/K16370,65
drought.t0,drought,t0,ko02040,Flagellar assembly, 43/2648,  43/2648,2.7160326390443684e-20,7.479536036752953e-19,5.65198694926642e-19,K02386/K02387/K02388/K02389/K02390/K02391/K02392/K02393/K02394/K02395/K02396/K02397/K02398/K02399/K02400/K02401/K02402/K02403/K02405/K02406/K02407/K02408/K02409/K02410/K02411/K02412/K02413/K02414/K02415/K02416/K02417/K02418/K02419/K02420/K02421/K02422/K02424/K02556/K02557/K03086/K03092/K10941/K10943,43
drought.t0,drought,t0,ko03070,Bacterial secretion system, 51/2648,  51/2648,1.126891217516633e-19,2.881621827649676e-18,2.177526638359209e-18,K02452/K02453/K02454/K02455/K02456/K02457/K02458/K02459/K02460/K02461/K02462/K03070/K03071/K03072/K03073/K03074/K03075/K03076/K03106/K03110/K03116/K03117/K03118/K03195/K03196/K03197/K03198/K03199/K03200/K03201/K03203/K03204/K03205/K03210/K03217/K03222/K03224/K03226/K03230/K11003/K11004/K11891/K11892/K11903/K11904/K11906/K11907/K11912/K11913/K12257/K12340,51
drought.t0,drought,t0,ko00680,Methane metabolism, 91/2648,  91/2648,2.542489155877443e-17,6.068074118694164e-16,4.585401495161424e-16,K00018/K00024/K00058/K00121/K00122/K00123/K00124/K00126/K00127/K00148/K00169/K00170/K00171/K00172/K00200/K00201/K00202/K00203/K00317/K00320/K00441/K00577/K00600/K00625/K00672/K00830/K00831/K00850/K00863/K00925/K01007/K01070/K01079/K01086/K01499/K01595/K01622/K01623/K01624/K01689/K01834/K01895/K02203/K02446/K03388/K03389/K03390/K03396/K03841/K05299/K05884/K05979/K06034/K07072/K07812/K08093/K08097/K08685/K08691/K08692/K09733/K10713/K10714/K10944/K10945/K10946/K10977/K11212/K11261/K11532/K11645/K11779/K11781/K12234/K13039/K13788/K13831/K14028/K14067/K14083/K14941/K15228/K15229/K15633/K15634/K15635/K16254/K16257/K16259/K16306/K16370,91
drought.t0,drought,t0,ko00020,Citrate cycle (TCA cycle), 43/2648,  43/2648,5.875309490727574e-17,1.3146004985502947e-15,9.933911441559125e-16,K00024/K00030/K00031/K00116/K00161/K00162/K00163/K00164/K00169/K00170/K00171/K00172/K00174/K00175/K00176/K00177/K00239/K00240/K00241/K00242/K00244/K00245/K00246/K00247/K00382/K00627/K00658/K01596/K01610/K01647/K01676/K01677/K01678/K01679/K01681/K01902/K01903/K01958/K01959/K01960/K03737/K15230/K15231,43
drought.t0,drought,t0,ko00230,Purine metabolism, 97/2648,  97/2648,1.8264380745819676e-16,3.8462637100020254e-15,2.90646801961341e-15,K00073/K00087/K00088/K00364/K00365/K00525/K00526/K00527/K00602/K00759/K00760/K00764/K00769/K00839/K00856/K00860/K00926/K00939/K00940/K00942/K00948/K00951/K00955/K00956/K00957/K00958/K00988/K01081/K01119/K01120/K01129/K01139/K01239/K01241/K01428/K01429/K01430/K01466/K01477/K01483/K01486/K01487/K01488/K01515/K01518/K01524/K01525/K01587/K01588/K01589/K01756/K01768/K01769/K01835/K01839/K01923/K01933/K01939/K01945/K01951/K01952/K02083/K02428/K02566/K03651/K03783/K03784/K03787/K04765/K05873/K06863/K06928/K06952/K06966/K07023/K07127/K08289/K08722/K09769/K09913/K11175/K11176/K11177/K11178/K13479/K13481/K13482/K13483/K13485/K14048/K14977/K15778/K16840/K16841/K16856/K19572/K19710,97
drought.t0,drought,t0,ko00240,Pyrimidine metabolism, 61/2648,  61/2648,2.327566274445135e-16,4.6292707013964355e-15,3.4981551610081864e-15,K00226/K00254/K00525/K00526/K00527/K00560/K00609/K00610/K00756/K00757/K00758/K00761/K00762/K00857/K00876/K00940/K00943/K00945/K01081/K01119/K01464/K01465/K01485/K01489/K01493/K01494/K01518/K01520/K01591/K01937/K01955/K01956/K02566/K02823/K02825/K03465/K03783/K03784/K03787/K04765/K06016/K06287/K06952/K06966/K07023/K07043/K08722/K09018/K09019/K09020/K09021/K09023/K09024/K09769/K09903/K09913/K11540/K13421/K16329/K17723/K17828,61
drought.t0,drought,t0,ko00051,Fructose and mannose metabolism, 61/2648,  61/2648,4.164551869014599e-16,7.846892468985402e-15,5.929583547572034e-15,K00008/K00064/K00066/K00594/K00844/K00847/K00848/K00850/K00863/K00882/K00895/K00966/K00971/K01086/K01218/K01622/K01623/K01624/K01628/K01629/K01711/K01729/K01803/K01805/K01808/K01809/K01813/K01818/K01820/K01840/K02377/K02446/K02768/K02770/K02793/K02794/K02795/K02796/K03332/K03841/K05947/K07026/K07046/K08261/K11532/K11645/K12661/K15778/K15856/K15916/K16011/K16306/K16370/K16881/K18333/K18334/K18335/K18336/K19270/K19290/K19355,61
drought.t0,drought,t0,ko04112,Cell cycle - Caulobacter, 27/2648,  27/2648,1.839710108029312e-15,3.293081093372468e-14,2.4884499882291222e-14,K01338/K01358/K02313/K02314/K02488/K02563/K02651/K03531/K03544/K03588/K03589/K03590/K06985/K07716/K11357/K11443/K11749/K13581/K13582/K13583/K13584/K13587/K13588/K13589/K13590/K13592/K13593,27
drought.t0,drought,t0,ko01250,Biosynthesis of nucleotide sugars, 92/2648,  92/2648,5.128817871741525e-15,8.74341332420698e-14,6.607048586654497e-14,K00012/K00066/K00067/K00075/K00469/K00523/K00790/K00820/K00844/K00845/K00847/K00849/K00884/K00886/K00963/K00965/K00966/K00971/K00972/K00973/K00975/K00978/K00979/K00983/K00992/K01627/K01654/K01709/K01710/K01711/K01784/K01790/K01791/K01809/K01810/K01835/K01840/K01854/K02377/K02472/K02473/K02474/K02805/K03270/K03271/K03272/K03273/K03274/K03431/K04042/K05304/K06041/K06118/K07031/K07102/K07806/K08678/K08679/K09001/K10011/K12446/K12448/K12452/K12454/K12710/K13010/K13016/K13017/K13018/K13019/K13020/K13310/K13315/K13317/K13810/K15669/K15778/K15856/K15894/K15897/K15916/K16011/K16190/K16436/K16704/K17716/K17947/K18429/K18430/K18431/K19068/K19180,92
drought.t0,drought,t0,ko00920,Sulfur metabolism, 58/2648,  58/2648,1.5160346300637093e-14,2.4670018071036724e-13,1.8642148321836045e-13,K00184/K00185/K00299/K00380/K00381/K00387/K00390/K00392/K00394/K00395/K00640/K00641/K00651/K00860/K00955/K00956/K00957/K00958/K00988/K01011/K01082/K01738/K01739/K02045/K02046/K02047/K02048/K02439/K03119/K04091/K05301/K06881/K07306/K08352/K10764/K10831/K15551/K15552/K15553/K15554/K15555/K15762/K15765/K16937/K16968/K16969/K17217/K17218/K17222/K17223/K17224/K17225/K17226/K17227/K17228/K17229/K17230/K17285,58
drought.t0,drought,t0,ko00280,"Valine, leucine and isoleucine degradation", 42/2648,  42/2648,2.796608692651118e-13,4.35298222595261e-12,3.289374984033581e-12,K00020/K00128/K00140/K00166/K00167/K00186/K00187/K00248/K00249/K00253/K00263/K00382/K00626/K00632/K00822/K00826/K00827/K01027/K01028/K01029/K01640/K01641/K01692/K01782/K01825/K01847/K01848/K01849/K01907/K01965/K01966/K01968/K01969/K05606/K07250/K09478/K09699/K11263/K11381/K13766/K18660/K18661,42
drought.t0,drought,t0,ko03010,Ribosome, 67/2648,  67/2648,4.3911378612218816e-13,6.400392328316762e-12,4.836521106666887e-12,K02863/K02864/K02866/K02867/K02871/K02874/K02876/K02877/K02878/K02879/K02881/K02883/K02884/K02886/K02887/K02888/K02890/K02892/K02895/K02897/K02899/K02902/K02904/K02906/K02907/K02909/K02910/K02911/K02913/K02914/K02916/K02919/K02926/K02929/K02930/K02931/K02933/K02935/K02939/K02945/K02946/K02948/K02950/K02952/K02954/K02956/K02959/K02961/K02963/K02965/K02966/K02967/K02968/K02970/K02975/K02976/K02979/K02982/K02983/K02984/K02986/K02988/K02990/K02991/K02992/K02994/K02996,67
drought.t0,drought,t0,ko00360,Phenylalanine metabolism, 44/2648,  44/2648,4.4695477153050013e-13,6.400392328316762e-12,4.836521106666887e-12,K00055/K00074/K00129/K00146/K00274/K00276/K00285/K00457/K00500/K00529/K00812/K00813/K00817/K00824/K00832/K01426/K01451/K01593/K01666/K01692/K01912/K02554/K02609/K02610/K02611/K02612/K02613/K02614/K02615/K02618/K03782/K03825/K04073/K05710/K05712/K05713/K05714/K10775/K11358/K13574/K15866/K18361/K18362/K18363,44
drought.t0,drought,t0,ko00270,Cysteine and methionine metabolism, 60/2648,  60/2648,5.241526609279955e-13,7.217178946623939e-12,5.453734164311533e-12,K00003/K00016/K00024/K00058/K00133/K00456/K00544/K00547/K00548/K00549/K00558/K00640/K00641/K00651/K00772/K00789/K00797/K00812/K00813/K00826/K00827/K00831/K00832/K00837/K00928/K01011/K01243/K01251/K01505/K01611/K01697/K01738/K01739/K01740/K01752/K01758/K01760/K01761/K01919/K01920/K05396/K08963/K08964/K08966/K08967/K09758/K09880/K10764/K11358/K12339/K12524/K12526/K12960/K14155/K16843/K16844/K16845/K16846/K17217/K17950,60
drought.t0,drought,t0,ko00250,"Alanine, aspartate and glutamate metabolism", 41/2648,  41/2648,1.650348788310675e-12,2.1882402452415618e-11,1.6535658424789223e-11,K00135/K00259/K00261/K00262/K00265/K00266/K00278/K00294/K00609/K00610/K00764/K00812/K00813/K00820/K00823/K00827/K00830/K01424/K01425/K01580/K01744/K01755/K01756/K01779/K01914/K01915/K01939/K01940/K01953/K01955/K01956/K07250/K09758/K11358/K11540/K13051/K13821/K14260/K15371/K16871/K19244,41
drought.t0,drought,t0,ko00640,Propanoate metabolism, 50/2648,  50/2648,1.7147266603229996e-12,2.1924005156986924e-11,1.6567095928684625e-11,K00016/K00140/K00166/K00167/K00169/K00170/K00171/K00172/K00248/K00382/K00625/K00656/K00822/K00823/K00925/K01026/K01578/K01659/K01692/K01699/K01720/K01734/K01782/K01825/K01847/K01848/K01849/K01895/K01902/K01903/K01905/K01908/K01961/K01962/K01963/K01965/K01966/K02160/K03417/K05606/K07250/K09699/K09788/K11263/K11264/K11381/K13788/K13920/K15024/K19745,50
drought.t0,drought,t0,ko00910,Nitrogen metabolism, 39/2648,  39/2648,1.984017376964982e-12,2.4492352446671157e-11,1.8507893498366623e-11,K00261/K00262/K00265/K00266/K00284/K00362/K00363/K00366/K00367/K00368/K00370/K00371/K00372/K00374/K00376/K00459/K00926/K01455/K01501/K01673/K01674/K01725/K01915/K02305/K02567/K02568/K02575/K03385/K04561/K10535/K10944/K10945/K10946/K15371/K15576/K15577/K15578/K15864/K15876,39
drought.t0,drought,t0,ko00330,Arginine and proline metabolism, 53/2648,  53/2648,8.324325020952166e-12,9.933694525002917e-11,7.506496597841076e-11,K00128/K00137/K00147/K00273/K00274/K00286/K00294/K00316/K00318/K00472/K00542/K00657/K00673/K00797/K00812/K00813/K00819/K00824/K00931/K01259/K01426/K01470/K01473/K01474/K01476/K01480/K01484/K01485/K01581/K01583/K01584/K01585/K01611/K01750/K01777/K02626/K06447/K08688/K09123/K09251/K09471/K09472/K10536/K10794/K11358/K12251/K12254/K12255/K12256/K13747/K13821/K18123/K18384,53
drought.t0,drought,t0,ko00030,Pentose phosphate pathway, 45/2648,  45/2648,1.6953246651039697e-11,1.9578265487329716e-10,1.4794514055406463e-10,K00033/K00034/K00036/K00090/K00117/K00131/K00615/K00616/K00850/K00851/K00852/K00874/K00895/K00948/K01053/K01057/K01086/K01619/K01621/K01622/K01623/K01624/K01625/K01690/K01783/K01807/K01808/K01810/K01835/K01839/K02446/K03738/K03841/K06151/K06152/K07404/K08093/K11532/K11645/K13810/K13831/K15778/K15916/K16306/K16370,45
drought.t0,drought,t0,ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis", 39/2648,  39/2648,8.65806418520408e-11,9.686209307197064e-10,7.319481893412661e-10,K00014/K00220/K00500/K00766/K00800/K00812/K00813/K00817/K00832/K00891/K01609/K01626/K01657/K01658/K01695/K01696/K01713/K01735/K01736/K01817/K03785/K03786/K03856/K04093/K04517/K04518/K06001/K06208/K11358/K11646/K13498/K13503/K13829/K13832/K13853/K14170/K14187/K16306/K18240,39
drought.t0,drought,t0,ko01220,Degradation of aromatic compounds, 83/2648,  83/2648,2.336158284338762e-10,2.5343777751311414e-9,1.915128162918858e-9,K00001/K00055/K00121/K00141/K00151/K00217/K00446/K00448/K00449/K00455/K00480/K00481/K00483/K00529/K01053/K01055/K01607/K01617/K01666/K01821/K01826/K01856/K01857/K02554/K03186/K03379/K03381/K04073/K04105/K04107/K04108/K04109/K04112/K04113/K04114/K04115/K05549/K05550/K05710/K05712/K05713/K05714/K05921/K06912/K07104/K07535/K07536/K07537/K07538/K07539/K07543/K07544/K07545/K07546/K10216/K10217/K10219/K10619/K10621/K10622/K10676/K13953/K13954/K14519/K14581/K14585/K14727/K15750/K15751/K15762/K15764/K15765/K16049/K16050/K16303/K16304/K16901/K17754/K18067/K18068/K18069/K18074/K18075,83
drought.t0,drought,t0,ko00220,Arginine biosynthesis, 34/2648,  34/2648,4.535826130374848e-10,4.775958101982928e-9,3.609000976799802e-9,K00145/K00261/K00262/K00611/K00619/K00620/K00812/K00813/K00818/K00821/K00926/K00930/K01425/K01428/K01429/K01430/K01438/K01457/K01476/K01478/K01755/K01915/K01940/K01941/K05828/K05829/K05830/K05831/K09065/K11358/K14048/K14260/K14682/K15371,34
drought.t0,drought,t0,ko00340,Histidine metabolism, 29/2648,  29/2648,5.34241150900635e-10,5.4645237720693525e-9,4.129322579893631e-9,K00013/K00128/K00129/K00274/K00603/K00765/K00817/K01089/K01458/K01468/K01479/K01496/K01523/K01693/K01712/K01745/K01814/K02500/K02501/K02502/K04486/K05602/K05603/K07008/K11755/K13990/K14152/K18911/K18912,29
drought.t0,drought,t0,ko02030,Bacterial chemotaxis, 20/2648,  20/2648,7.081353087404535e-10,7.042012236918954e-9,5.3213676709443445e-9,K00575/K02410/K02416/K02417/K02556/K02557/K03406/K03407/K03408/K03409/K03410/K03411/K03412/K03413/K03414/K03415/K05874/K10439/K12368/K13924,20
drought.t0,drought,t0,ko00500,Starch and sucrose metabolism, 49/2648,  49/2648,1.0761379923383183e-9,1.0412362196138323e-8,7.86820665806395e-9,K00688/K00690/K00693/K00694/K00696/K00697/K00700/K00702/K00703/K00705/K00844/K00845/K00847/K00963/K00975/K00978/K01087/K01176/K01178/K01179/K01187/K01193/K01194/K01200/K01210/K01222/K01236/K01810/K01835/K01838/K02438/K02761/K05342/K05343/K05349/K05350/K06044/K07024/K07405/K13057/K13810/K15778/K15916/K16055/K16147/K16148/K16149/K16150/K19668,49
