Mass,MolecularFormula,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway,KEGG_module,KEGG_brite,KEGG_enzyme,KEGG_reaction
151.040039,C8H8O3,cpd:C02657,6-Methylsalicylate;6-Methylsalicylic acid;2-Hydroxy-6-methylbenzoic acid;6-Methyl-2-hydroxybenzenecarboxylate,C8H8O3,Biosynthesis of enediyne antibiotics;Metabolic pathways;Biosynthesis of secondary metabolites,"3,6-Dimethylsalicylyl-CoA biosynthesis, malonyl-CoA => 6-methylsalicylate => 3,6-dimethylsalicylyl-CoA",Lipids [BR:br08002]; PK  Polyketides;  PK13 Aromatic polyketides;   PK1301 Monocyclic aromatic polyketides;    C02657  6-Methylsalicylic acid,2.3.1.165;4.1.1.52;6.2.1.-,R03567 R07253 R11370
151.040039,C8H8O3,cpd:C03663,"2',4'-Dihydroxyacetophenone;2,4-Dihydroxyacetophenone;Resacetophenone",C8H8O3,NA,NA,NA,NA,NA
151.040039,C8H8O3,cpd:C04043,"3,4-Dihydroxyphenylacetaldehyde;Protocatechuatealdehyde",C8H8O3,Tyrosine metabolism;Isoquinoline alkaloid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Parkinson disease,NA,NA,1.2.1.5;1.2.1.29;1.2.1.39;1.4.3.4;1.4.3.21;1.4.3.-;1.4.9.2;4.1.1.107;4.2.1.78,R03300 R03302 R04084 R04300 R11916
151.040039,C8H8O3,cpd:C05593,3-Hydroxyphenylacetate;3-Hydroxyphenylacetic acid,C8H8O3,Tyrosine metabolism;Phenylalanine metabolism;Styrene degradation;Metabolic pathways;Microbial metabolism in diverse environments,NA,NA,1.14.13.63;1.14.14.9,R02515 R02517 R03299 R06791
151.040039,C8H8O3,cpd:C05852,2-Hydroxyphenylacetate;2-Hydroxyphenylacetic acid,C8H8O3,Phenylalanine metabolism;Styrene degradation;Metabolic pathways;Microbial metabolism in diverse environments,NA,NA,1.13.11.27;1.14.13.-;1.14.14.54,R01372 R05001 R05450 R05487
151.040039,C8H8O3,cpd:C10675,"3',4'-Dihydroxyacetophenone",C8H8O3,NA,NA,NA,NA,NA
151.040039,C8H8O3,cpd:C10804,2-(Hydroxymethyl)benzoic acid;2-Hydroxymethylbenzoic acid,C8H8O3,NA,NA,NA,NA,NA
151.040039,C8H8O3,cpd:C12064,Resorcinol monoacetate,C8H8O3,NA,NA,Anatomical Therapeutic Chemical (ATC) classification [BR:br08303]; D DERMATOLOGICALS;  D10 ANTI-ACNE PREPARATIONS;   D10A ANTI-ACNE PREPARATIONS FOR TOPICAL USE;    D10AX Other anti-acne preparations for topical use;     D10AX02 Resorcinol;      D02393  Resorcinol monoacetate (USP); S SENSORY ORGANS;  S01 OPHTHALMOLOGICALS;   S01A ANTIINFECTIVES;    S01AX Other antiinfectives;     S01AX06 Resorcinol;      D02393  Resorcinol monoacetate (USP),NA,NA
151.040039,C8H8O3,cpd:C12305,Methyl salicylate;Methyl 2-hydroxybenzoate,C8H8O3,Biosynthesis of phenylpropanoids,NA,"Therapeutic category of drugs in Japan [BR:br08301]; 2  Agents affecting individual organs;  26  Epidermides;   264  Analgesics, anti-itchings, astringents, anti-inflammatory agents;    2641  Methyl salicylic acids;     D01087  Methyl salicylate (JP18/NF);Classification of Japanese OTC drugs [BR:br08313]; Agents for respiratory organs;  27 Gargles;   D01087  Methyl salicylate (JP18/NF); Agents for integumentary system;  57 Analgesic, antipruritic, astringent, and anti-inflammatory remedies (incl. gel patches);   D01087  Methyl salicylate (JP18/NF);Risk category of Japanese OTC drugs [BR:br08312]; Third-class OTC drugs;  Inorganic and organic chemicals;   Methyl salicylate;    D01087  Methyl salicylate (JP18/NF);Animal drugs in Japan [BR:br08331]; 95  Agents for external use;  953  Analgesics, anti-itchings, astringents and antiinflammatory agents;   9531  Methyl salicylate and preparations;    C12305  Methyl salicylate;Drugs listed in the Japanese Pharmacopoeia [BR:br08311]; Chemicals;  D01087  Methyl salicylate",2.1.1.274,R10448
151.040039,C8H8O3,cpd:C13635,"4-Hydroxyphenacyl alcohol;2,4'-Dihydroxyacetophenone",C8H8O3,Bisphenol degradation;Microbial metabolism in diverse environments,NA,NA,1.13.11.41;1.13.-.-,R01305 R06889
151.040039,C8H8O3,cpd:C13636,4-Hydroxyphenyl acetate,C8H8O3,Bisphenol degradation;Metabolic pathways;Microbial metabolism in diverse environments,NA,NA,1.14.13.84;3.1.1.2,R06892 R06893
151.040039,C8H8O3,cpd:C14088,3-Methylsalicylate,C8H8O3,Naphthalene degradation;Microbial metabolism in diverse environments;Degradation of aromatic compounds,NA,NA,1.2.1.-;1.14.13.1,R06914 R06915
151.040039,C8H8O3,cpd:C14103,4-Methylsalicylate;m-Cresotic acid;2-Hydroxy-4-methylbenzoic acid,C8H8O3,Naphthalene degradation;Microbial metabolism in diverse environments,NA,NA,1.14.13.1,R06938 R06939
151.040039,C8H8O3,cpd:C14108,4-Hydroxymethylsalicylaldehyde;2-Hydroxy-4-hydroxymethyl-benzaldehyde,C8H8O3,Naphthalene degradation;Microbial metabolism in diverse environments,NA,NA,1.2.1.-;4.2.1.-,R06934 R06935
151.040039,C8H8O3,cpd:C17900,Menisdaurilide,C8H8O3,NA,NA,NA,NA,NA
151.040039,C8H8O3,cpd:C21167,4-Hydroxy-3-methylbenzoate;4-Hydroxy-m-toluate,C8H8O3,Toluene degradation;Microbial metabolism in diverse environments,NA,NA,1.2.1.96,R11195 R11196
157.05059,C7H10O4,cpd:C02631,2-Isopropylmaleate;beta-Isopropylmaleate,C7H10O4,"Valine, leucine and isoleucine biosynthesis;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism",NA,NA,4.2.1.33,R03968 R04001
157.05059,C7H10O4,cpd:C04670,"(1S,4S)-4-Hydroxy-3-oxocyclohexane-1-carboxylate",C7H10O4,NA,NA,NA,1.1.1.166,R05315
157.05059,C7H10O4,cpd:C04815,"5-D-(5/6)-5-C-(Hydroxymethyl)-2,6-dihydroxycyclohex-2-en-1-one;5D-(5/6)-5-C-(Hydroxymethyl)-2,6-dihydroxy-2-cyclohexen-1-one",C7H10O4,NA,NA,NA,4.3.3.1,R04367
157.05059,C7H10O4,cpd:C05126,"Dimethyl citraconate;Citraconic acid dimethyl ester;2-Butenedioic acid, 2-methyl-, dimethyl ester, (Z)-;Citraconate de dimethyle;Citraconic acid, dimethyl ester;Dimethyl methylmaleate;Methylmaleic acid, dimethyl ester",C7H10O4,NA,NA,NA,NA,NA
159.0298895,C6H8O5,cpd:C00322,2-Oxoadipate;2-Oxoadipic acid,C6H8O5,Lysine biosynthesis;Lysine degradation;Tryptophan metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors,"Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine;Lysine degradation, lysine => saccharopine => acetoacetyl-CoA;Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate;2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate",Compounds with biological roles [BR:br08001]; Organic acids;  Carboxylic acids;   2-Oxocarboxylic acids;    C00322  2-Oxoadipate,1.1.1.87;1.1.1.172;1.1.1.286;1.2.4.2;1.5.1.-;1.8.1.4;2.3.1.61;2.3.3.-;2.6.1.39,R01932 R01933 R01934 R01936 R01937 R01938 R01939 R01940;R08331
159.0298895,C6H8O5,cpd:C00846,3-Oxoadipate;3-Oxoadipic acid;3-Keto-adipate,C6H8O5,Benzoate degradation;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,"Catechol ortho-cleavage, catechol => 3-oxoadipate",NA,1.3.1.32;2.8.3.6;3.1.1.24,R02988 R02989 R02990 R02991
159.0298895,C6H8O5,cpd:C04287,"3D-3,5/4-Trihydroxycyclohexane-1,2-dione;D-2,3-Diketo-4-deoxy-epi-inositol;(3R,4S,5R)-3,4,5-Trihydroxy-1,2-cyclohexanedione;3,5/4-Trihydroxycyclohexa-1,2-dione",C6H8O5,Inositol phosphate metabolism;Metabolic pathways;Microbial metabolism in diverse environments,NA,NA,3.7.1.22;4.2.1.44,R02782 R08603
159.0298895,C6H8O5,cpd:C06891,"D-2,3-Diketo 4-deoxy-epi-inositol;DKDI",C6H8O5,NA,NA,NA,NA,R05659
159.0298895,C6H8O5,cpd:C16159,2-Formylglutarate,C6H8O5,Nicotinate and nicotinamide metabolism;Microbial metabolism in diverse environments,NA,NA,1.1.1.291;3.5.2.18,R07984 R07985
159.0298895,C6H8O5,cpd:C20781,"2,4-Diketo-3-deoxy-L-fuconate;2,4-Diketo-3-deoxy-L-rhamnonate;2,4-Didehydro-3-deoxy-L-rhamnonate",C6H8O5,Fructose and mannose metabolism;Metabolic pathways;Microbial metabolism in diverse environments,NA,NA,1.1.1.401;1.1.1.-;3.7.1.26,R10690 R10691 R11339
159.0298895,C6H8O5,cpd:C22351,3-Dehydrolevoglucosan,C6H8O5,NA,NA,NA,1.1.1.425,R12713
159.0662487,C7H12O4,cpd:C02656,Pimelate;Pimelic acid;Heptanedioic acid;6-Carboxyhexanoate,C7H12O4,Biotin metabolism;Metabolic pathways;Biosynthesis of cofactors,"Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin",Compounds with biological roles [BR:br08001]; Organic acids;  Carboxylic acids;   Dicarboxylic acids;    C02656  Pimelate;Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0117 Dicarboxylic acids;    C02656  Heptanedioic acid,6.2.1.14,R03209
159.0662487,C7H12O4,cpd:C04687,"(1S,3R,4S)-3,4-Dihydroxycyclohexane-1-carboxylate",C7H12O4,NA,NA,NA,1.1.1.166,R05315
159.0662487,C7H12O4,cpd:C16657,2-Propylsuccinic acid;2-PSA,C7H12O4,Drug metabolism - cytochrome P450,NA,NA,NA,R08333
161.0455118,C6H10O5,cpd:C00478,Lichenin;Lichenan,C6H10O5,NA,NA,NA,NA,NA
161.0455118,C6H10O5,cpd:C01088,"(R)-3,3-Dimethylmalate",C6H10O5,Pantothenate and CoA biosynthesis,NA,NA,1.1.1.84;1.2.1.33,R01211 R03198
161.0455118,C6H10O5,cpd:C01989,3-Ethylmalate,C6H10O5,Glyoxylate and dicarboxylate metabolism,NA,NA,2.3.3.7,R01180
161.0455118,C6H10O5,cpd:C02360,2-Hydroxyadipate;2-Hydroxyadipic acid,C6H10O5,NA,NA,NA,1.1.1.172,R01932
161.0455118,C6H10O5,cpd:C02488,(R)-2-Ethylmalate,C6H10O5,Pyruvate metabolism,NA,NA,2.3.3.6,R00998
161.0455118,C6H10O5,cpd:C02991,"L-Rhamnono-1,4-lactone;L-Rhamno-1,4-lactone",C6H10O5,Fructose and mannose metabolism;Metabolic pathways;Microbial metabolism in diverse environments,NA,NA,1.1.1.173;1.1.1.377;1.1.1.378;3.1.1.65,R03772 R03942 R10788 R10995
161.0455118,C6H10O5,cpd:C03652,"(2R,3S)-2,3-Dimethylmalate",C6H10O5,Nicotinate and nicotinamide metabolism;Microbial metabolism in diverse environments,NA,NA,4.1.3.32;4.2.1.85,R01355 R03069
161.0455118,C6H10O5,cpd:C03761,3-Hydroxy-3-methylglutarate;3-Hydorxy-3-methylglutaric acid;beta-Hydroxy-beta-methylglutaric acid;Dicrotalic acid;3-Hydroxy-3-methylpentanedioic acid;Meglutol,C6H10O5,NA,NA,"Anatomical Therapeutic Chemical (ATC) classification [BR:br08303]; C CARDIOVASCULAR SYSTEM;  C10 LIPID MODIFYING AGENTS;   C10A LIPID MODIFYING AGENTS, PLAIN;    C10AX Other lipid modifying agents;     C10AX05 Meglutol;      D04897  Meglutol (USAN/INN)",2.8.3.13;3.1.2.5,R02083 R02084
161.0455118,C6H10O5,cpd:C03827,2-Dehydro-3-deoxy-L-fuconate,C6H10O5,Fructose and mannose metabolism;Metabolic pathways;Microbial metabolism in diverse environments,NA,NA,1.1.1.-;4.2.1.68,R03688 R10690
161.0455118,C6H10O5,cpd:C03979,2-Dehydro-3-deoxy-L-rhamnonate,C6H10O5,Fructose and mannose metabolism;Metabolic pathways;Microbial metabolism in diverse environments,NA,NA,1.1.1.401;4.1.2.53;4.2.1.90,R02261 R03774 R11339
161.0455118,C6H10O5,cpd:C06158,"D-Fucono-1,4-lactone",C6H10O5,NA,NA,NA,NA,NA
161.0455118,C6H10O5,cpd:C06159,2-Dehydro-3-deoxy-D-fuconate,C6H10O5,NA,NA,NA,4.1.2.18;4.2.1.67,R03081 R03671
161.0455118,C6H10O5,cpd:C06474,"3,6-Anhydrogalactose;3,6-Anhydro-D-galactose",C6H10O5,NA,NA,"Compounds with biological roles [BR:br08001]; Carbohydrates;  Monosaccharides;   Aldoses;    C06474  3,6-Anhydrogalactose",NA,NA
161.0455118,C6H10O5,cpd:C06478,"3,6-Anhydroglucose;3,6-Anhydro-D-glucose",C6H10O5,NA,NA,"Compounds with biological roles [BR:br08001]; Carbohydrates;  Monosaccharides;   Aldoses;    C06478  3,6-Anhydroglucose",NA,NA
161.0455118,C6H10O5,cpd:C06485,"1,5-Anhydro-D-fructose",C6H10O5,NA,NA,NA,1.1.1.263;1.1.1.292;4.2.1.110;4.2.1.111,R05682 R08194 R09694 R09696
161.0455118,C6H10O5,cpd:C11592,Diethyl pyrocarbonate,C6H10O5,NA,NA,NA,NA,NA
161.0455118,C6H10O5,cpd:C16390,(S)-2-(Hydroxymethyl)glutarate,C6H10O5,Nicotinate and nicotinamide metabolism;Microbial metabolism in diverse environments,NA,NA,1.1.1.291,R07985 R07986
161.0455118,C6H10O5,cpd:C17209,2-Deoxy-scyllo-inosose;2-Deoxyinosose;2-Deoxy-L-scyllo-inosose,C6H10O5,"Neomycin, kanamycin and gentamicin biosynthesis;Biosynthesis of secondary metabolites",NA,NA,2.6.1.100;4.2.3.124,R08617 R08890
161.0455118,C6H10O5,cpd:C18028,"L-Fucono-1,5-lactone",C6H10O5,Fructose and mannose metabolism;Metabolic pathways;Microbial metabolism in diverse environments,NA,NA,1.1.1.122;3.1.1.-,R08926 R10689
161.0455118,C6H10O5,cpd:C20902,"3,6-Anhydro-alpha-L-galactopyranose",C6H10O5,NA,NA,NA,1.2.1.92,R10861 R10862
161.0455118,C6H10O5,cpd:C22311,3-Deoxyglucosone,C6H10O5,Diabetic cardiomyopathy,NA,NA,NA,NA
161.0455118,C6H10O5,cpd:C22350,"Levoglucosan;1,6-Anhydro-beta-D-glucopyranose",C6H10O5,NA,NA,NA,1.1.1.425;2.7.1.232,R12713 R12746
161.0818863,C7H14O4,cpd:C08234,"beta-Cymaropyranose;D-Cymarose;Cymarose;2,6-Dideoxy-3-O-methyl-D-ribo-hexose",C7H14O4,NA,NA,NA,NA,NA
161.0818863,C7H14O4,cpd:C08237,Oleandrose;beta-L-Oleandropyranose,C7H14O4,NA,NA,NA,NA,NA
165.0192912,C8H6O4,cpd:C01606,"Phthalate;o-Phthalic acid;1,2-Benzenedicarboxylic acid",C8H6O4,Polycyclic aromatic hydrocarbon degradation;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;ABC transporters,"Phthalate degradation, phthalate => protocatechuate;Phthalate degradation, phthalate => protocatechuate",NA,1.2.1.78;1.3.1.19;1.11.1.19;1.14.12.7;1.14.12.-;3.5.1.79;3.7.1.-,R03630 R05167 R05643 R07703 R07802 R09227 R10915
165.0192912,C8H6O4,cpd:C03590,4-Hydroxyphenylglyoxylate;4-Hydroxybenzoylformate;4-Hydroxyphenylglyoxylic acid;2-(4-Hydroxyphenyl)-2-oxoacetate,C8H6O4,Monobactam biosynthesis;Aminobenzoate degradation;Biosynthesis of vancomycin group antibiotics;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments,NA,NA,1.1.3.46;1.1.99.31;2.6.1.72;2.6.1.103;4.1.1.7,R02672 R04160 R04234 R06626 R06633
165.0192912,C8H6O4,cpd:C06337,"Terephthalate;Terephthalic acid;1,4-Benzenedicarboxylic acid",C8H6O4,Polycyclic aromatic hydrocarbon degradation;Aminobenzoate degradation;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,"Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate",NA,1.14.12.15;3.1.1.102,R05148 R07835 R11541
165.0192912,C8H6O4,cpd:C14096,3-Formylsalicylic acid;2-Hydroxyisophthalaldehydic acid,C8H6O4,Naphthalene degradation;Microbial metabolism in diverse environments,NA,NA,1.2.3.-;4.2.1.-,R06923 R06924
165.0192912,C8H6O4,cpd:C14100,4-Formylsalicylic acid;4-Formyl-2-hydroxybenzoic acid,C8H6O4,Naphthalene degradation;Microbial metabolism in diverse environments,NA,NA,NA,R06929
165.0192912,C8H6O4,cpd:C22203,Isophthalate;Isophthalic acid,C8H6O4,NA,NA,NA,6.2.1.58,R12485
165.0556712,C9H10O3,cpd:C01198,3-(2-Hydroxyphenyl)propanoate;2-Hydroxyphenylpropanoate;3-(2-Hydroxyphenyl)propionic acid;Melilotate;3-(2-Hydroxyphenyl)propionate,C9H10O3,Phenylalanine metabolism;Polycyclic aromatic hydrocarbon degradation;Metabolic pathways;Microbial metabolism in diverse environments,NA,NA,1.3.1.11;1.14.13.4;3.1.1.35,R03369 R03692 R03709 R04899 R05537
165.0556712,C9H10O3,cpd:C01456,Tropate;Tropic acid;alpha-(Hydroxymethyl)phenylacetic acid,C9H10O3,"Tropane, piperidine and pyridine alkaloid biosynthesis;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of secondary metabolites",NA,NA,3.1.1.10,R03563 R03564 R06744
165.0556712,C9H10O3,cpd:C01744,Phloretate;Phloretic acid;3-(4-Hydroxyphenyl)propanoate;3-(4-Hydroxyphenyl)propionic acid,C9H10O3,NA,NA,NA,1.3.8.15;3.7.1.4,R02901 R12534
165.0556712,C9H10O3,cpd:C02201,"Veratraldehyde;Veratric aldehyde;3,4-Dimethoxybenzaldehyde",C9H10O3,NA,NA,NA,1.11.1.14,R04461 R11501
165.0556712,C9H10O3,cpd:C02363,3-Ethoxybenzoate;3-Ethoxybenzoic acid,C9H10O3,NA,NA,NA,NA,NA
165.0556712,C9H10O3,cpd:C03080,4-Hydroxyhydratropate,C9H10O3,NA,NA,NA,NA,NA
165.0556712,C9H10O3,cpd:C05581,3-Methoxy-4-hydroxyphenylacetaldehyde;(4-Hydroxy-3-methoxyphenyl)acetaldehyde;Homovanillin,C9H10O3,Tyrosine metabolism;Metabolic pathways,NA,NA,1.2.1.5;1.4.3.4,R04888 R04889 R04890
165.0556712,C9H10O3,cpd:C05607,Phenyllactate;(R)-Phenyllactate;(R)-3-(phenyl)lactate,C9H10O3,"Phenylalanine metabolism;Tropane, piperidine and pyridine alkaloid biosynthesis;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Metabolic pathways",NA,NA,1.1.1.110;1.1.1.237;2.8.3.17,R01370 R01371 R07796
165.0556712,C9H10O3,cpd:C10712,Paeonol,C9H10O3,NA,NA,NA,NA,NA
165.0556712,C9H10O3,cpd:C11380,Apocynin;Acetovanillone,C9H10O3,NA,NA,"Lipids [BR:br08002]; PK  Polyketides;  PK12 Flavonoids;   PK1202 Flavans, Flavanols and Leucoanthocyanidins;    C11380  Apocynin",NA,NA
165.0556712,C9H10O3,cpd:C11457,3-(3-Hydroxyphenyl)propanoic acid;Dihydro-3-coumaric acid;3-Hydroxyphenylpropanoate;3-(3-Hydroxyphenyl)propanoate,C9H10O3,Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,NA,NA,1.14.13.127,R06780 R06786
165.0556712,C9H10O3,cpd:C12206,Caffeyl alcohol,C9H10O3,Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites,NA,Phytochemical compounds [BR:br08003]; Phenylpropanoids;  Monolignols;   Caffeate derivatives;    C12206  Caffeyl alcohol,1.1.1.195;2.1.1.68,R06571 R06575 R06580
167.0349522,C8H8O4,cpd:C00544,"Homogentisate;Homogentisic acid;2,5-Dihydroxyphenylacetic acid;2,5-Dihydroxyphenylacetate",C8H8O4,Ubiquinone and other terpenoid-quinone biosynthesis;Tyrosine metabolism;Styrene degradation;Metabolic pathways;Microbial metabolism in diverse environments;Biosynthesis of cofactors,"Tyrosine degradation, tyrosine => homogentisate;Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol;Plastoquinone biosynthesis, homogentisate + solanesyl-PP => plastoquinol",NA,1.13.11.5;1.13.11.27;1.13.12.-;1.14.13.18;1.14.13.63;1.14.13.-;2.5.1.115;2.5.1.116;2.5.1.117;4.1.1.-,R02514 R02515 R02516 R02517 R02518 R02519 R02520 R02521;R05450 R07500 R08782 R10708
167.0349522,C8H8O4,cpd:C01161,"3,4-Dihydroxyphenylacetate;3,4-Dihydroxyphenylacetic acid;Homoprotocatechuate",C8H8O4,Tyrosine metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Dopaminergic synapse;Cocaine addiction;Amphetamine addiction;Alcoholism,"Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate",NA,1.2.1.5;1.2.1.29;1.2.1.39;1.13.11.15;1.14.12.9;1.14.14.9;2.1.1.6,R02698 R03299 R03300 R03302 R03303 R03304 R03306
167.0349522,C8H8O4,cpd:C01839,"Orsellinate;o-Orsellinic acid;2,4-Dihydroxy-6-methylbenzoic acid;2,4-Dihydroxy-6-methylbenzoate;4,6-Dihydroxy-o-toluic acid",C8H8O4,NA,NA,Lipids [BR:br08002]; PK  Polyketides;  PK13 Aromatic polyketides;   PK1301 Monocyclic aromatic polyketides;    C01839  Orsellinic acid,3.1.1.40;4.1.1.58,R00054 R02831
167.0349522,C8H8O4,cpd:C03198,(S)-4-Hydroxymandelate;(S)-2-Hydroxy-2-(4-hydroxyphenyl)acetate;L-4-Hydroxymandelate;L-p-Hydroxymandelate,C8H8O4,Monobactam biosynthesis;Aminobenzoate degradation;Biosynthesis of vancomycin group antibiotics;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments,NA,NA,1.1.3.19;1.1.3.46;1.1.99.31;1.13.11.46;1.14.16.6;5.1.2.2,R02673 R03794 R04160 R04161 R06632 R06633
167.0349522,C8H8O4,cpd:C03235,4-Hydroxypheoxyacetate,C8H8O4,NA,NA,NA,NA,NA
167.0349522,C8H8O4,cpd:C05343,(R)-4-Hydroxymandelate,C8H8O4,Microbial metabolism in diverse environments,NA,NA,5.1.2.2,R04161
167.0349522,C8H8O4,cpd:C05577,"3,4-Dihydroxymandelaldehyde;3,4-Dihydroxyphenylglycolaldehyde",C8H8O4,Tyrosine metabolism;Metabolic pathways,NA,NA,1.1.1.1;1.2.1.5;1.4.3.4,R02532 R02919 R04880 R04882 R04883
167.0349522,C8H8O4,cpd:C06207,"2,6-Dihydroxyphenylacetate",C8H8O4,Phenylalanine metabolism,NA,NA,NA,R05001
167.0349522,C8H8O4,cpd:C06672,Vanillate;Vanillic acid;4-Hydroxy-3-methoxybenzoate;4-Hydroxy-3-methoxybenzoic acid,C8H8O4,Aminobenzoate degradation;Microbial metabolism in diverse environments,NA,NA,1.2.1.67;1.2.3.9;1.14.13.82;2.1.1.341;2.1.1.-;2.4.1.300,R05273 R05274 R05699 R07668 R09278 R10136 R10259 R10296;R10297
